iter	Passed	Remaining
553	2416	1945
554	2421	1941
555	2425	1936
556	2429	1932
557	2433	1927
558	2437	1923
559	2442	1918
560	2446	1914
561	2451	1910
562	2455	1905
563	2459	1901
564	2463	1896
565	2467	1891
566	2471	1887
567	2475	1882
568	2479	1878
569	2484	1874
570	2488	1869
571	2492	1865
572	2496	1860
573	2500	1856
574	2504	1851
575	2509	1847
576	2513	1842
577	2517	1837
578	2521	1833
579	2525	1829
580	2530	1824
581	2533	1819
582	2537	1815
583	2542	1810
584	2546	1806
585	2550	1801
586	2554	1797
587	2558	1792
588	2563	1788
589	2567	1784
590	2571	1779
591	2575	1775
592	2579	1770
593	2584	1766
594	2588	1761
595	2592	1757
596	2596	1752
597	2600	1748
598	2605	1744
599	2610	1740
600	2614	1735
601	2618	1731
602	2622	1726
603	2626	1722
604	2630	1717
605	2634	1712
606	2638	1708
607	2643	1704
608	2647	1699
609	2651	1695
610	2656	1691
611	2660	1686
612	2664	1682
613	2668	1677
614	2672	1673
615	2677	1668
616	2681	1664
617	2685	1660
618	2689	1655
619	2693	1651
620	2698	1646
621	2702	1642
622	2706	1637
623	2710	1633
624	2715	1629
625	2720	1625
626	2724	1620
627	2729	1616
628	2733	1612
629	2737	1607
630	2742	1603
631	2746	1598
632	2750	1594
633	2755	1590
634	2759	1586
635	2763	1581
636	2768	1577
637	2772	1573
638	2776	1568
639	2782	1564
640	2787	1561
641	2791	1556
642	2796	1552
643	2800	1548
644	2804	1543
645	2809	1539
646	2812	1534
647	2817	1530
648	2821	1525
649	2825	1521
650	2829	1516
651	2832	1512
652	2837	1507
653	2841	1503
654	2845	1498
655	2849	1494
656	2853	1489
657	2857	1485
658	2860	1480
659	2864	1475
660	2868	1471
661	2872	1466
662	2876	1462
663	2880	1457
664	2885	1453
665	2890	1449
666	2894	1445
667	2898	1440
668	2902	1436
669	2907	1431
670	2911	1427
671	2914	1422
672	2918	1418
673	2922	1413
674	2926	1409
675	2930	1404
676	2934	1400
677	2939	1395
678	2943	1391
679	2947	1386
680	2951	1382
681	2955	1378
682	2959	1373
683	2964	1369
684	2968	1365
685	2972	1360
686	2976	1356
687	2980	1351
688	2984	1347
689	2988	1342
690	2992	1338
691	2997	1334
692	3001	1329
693	3005	1325
694	3009	1320
695	3013	1316
696	3017	1311
697	3021	1307
698	3025	1302
699	3030	1298
700	3034	1294
701	3038	1289
702	3042	1285
703	3046	1280
704	3049	1276
705	3053	1271
706	3057	1267
707	3061	1262
708	3065	1258
709	3069	1253
710	3073	1249
711	3078	1245
712	3082	1240
713	3085	1236
714	3090	1231
715	3094	1227
716	3098	1222
717	3102	1218
718	3106	1214
719	3110	1209
720	3114	1205
721	3118	1200
722	3122	1196
723	3126	1191
724	3130	1187
725	3134	1183
726	3138	1178
727	3142	1174
728	3146	1169
729	3150	1165
730	3154	1160
731	3158	1156
732	3161	1151
733	3165	1147
734	3169	1142
735	3173	1138
736	3176	1133
737	3180	1129
738	3184	1124
739	3188	1120
740	3192	1116
741	3197	1111
742	3202	1107
743	3206	1103
744	3210	1098
745	3214	1094
746	3217	1089
747	3221	1085
748	3225	1080
749	3229	1076
750	3233	1072
751	3237	1067
752	3242	1063
753	3246	1059
754	3250	1054
755	3255	1050
756	3259	1046
757	3263	1041
758	3267	1037
759	3271	1033
760	3276	1028
761	3280	1024
762	3284	1020
763	3288	1015
764	3292	1011
765	3296	1007
766	3300	1002
767	3304	998
768	3309	994
769	3314	989
770	3318	985
771	3322	981
772	3326	976
773	3331	972
774	3335	968
775	3339	963
776	3343	959
777	3348	955
778	3352	951
779	3356	946
780	3361	942
781	3365	938
782	3369	933
783	3373	929
784	3378	925
785	3383	921
786	3387	916
787	3392	912
788	3396	908
789	3400	904
790	3405	899
791	3410	895
792	3414	891
793	3418	886
794	3422	882
795	3426	878
796	3430	873
797	3434	869
798	3438	865
799	3443	860
800	3447	856
801	3451	852
802	3456	847
803	3460	843
804	3464	839
805	3468	834
806	3474	830
807	3479	826
808	3485	822
809	3491	818
810	3495	814
811	3499	810
812	3503	805
813	3507	801
814	3512	797
815	3516	792
816	3520	788
817	3524	784
818	3528	779
819	3532	775
820	3536	771
821	3540	766
822	3545	762
823	3550	758
824	3554	753
825	3558	749
826	3562	745
827	3566	740
828	3570	736
829	3574	732
830	3578	727
831	3582	723
832	3586	719
833	3591	714
834	3595	710
835	3599	706
836	3604	701
837	3608	697
838	3612	693
839	3617	688
840	3621	684
841	3625	680
842	3629	676
843	3633	671
844	3637	667
845	3641	662
846	3646	658
847	3650	654
848	3657	650
849	3661	646
850	3666	641
851	3669	637
852	3674	633
853	3678	628
854	3682	624
855	3686	620
856	3691	615
857	3695	611
858	3699	607
859	3703	602
860	3707	598
861	3711	594
862	3715	589
863	3719	585
864	3723	581
865	3728	576
866	3732	572
867	3736	568
868	3740	563
869	3744	559
870	3748	555
871	3752	550
872	3757	546
873	3762	542
874	3766	538
875	3770	533
876	3774	529
877	3777	524
878	3781	520
879	3786	516
880	3790	512
881	3794	507
882	3799	503
883	3804	499
884	3808	494
885	3811	490
886	3815	486
887	3819	481
888	3823	477
889	3827	473
890	3830	468
891	3834	464
892	3838	459
893	3842	455
894	3845	451
895	3849	446
896	3853	442
897	3857	438
898	3861	433
899	3865	429
900	3869	425
901	3873	420
902	3877	416
903	3880	412
904	3884	407
905	3888	403
906	3892	399
907	3896	394
908	3900	390
909	3904	386
910	3909	381
911	3913	377
912	3917	373
913	3921	368
914	3925	364
915	3929	360
916	3933	355
917	3937	351
918	3941	347
919	3945	343
920	3949	338
921	3953	334
922	3957	330
923	3961	325
924	3965	321
925	3969	317
926	3973	312
927	3977	308
928	3982	304
929	3985	300
930	3989	295
931	3993	291
932	3997	287
933	4002	282
934	4006	278
935	4010	274
936	4014	269
937	4018	265
938	4022	261
939	4026	257
940	4030	252
941	4034	248
942	4038	244
943	4042	239
944	4046	235
945	4050	231
946	4054	226
947	4058	222
948	4062	218
949	4067	214
950	4071	209
951	4075	205
952	4079	201
953	4083	196
954	4088	192
955	4092	188
956	4096	184
957	4100	179
958	4104	175
959	4109	171
960	4113	166
961	4117	162
962	4121	158
963	4125	154
964	4129	149
965	4133	145
966	4137	141
967	4142	136
968	4146	132
969	4151	128
970	4155	124
971	4159	119
972	4163	115
973	4167	111
974	4171	106
975	4175	102
976	4180	98
977	4184	94
978	4189	89
979	4193	85
980	4198	81
981	4202	77
982	4206	72
983	4211	68
984	4215	64
985	4220	59
986	4224	55
987	4229	51
988	4233	47
989	4237	42
990	4241	38
991	4245	34
992	4250	29
993	4254	25
994	4258	21
995	4262	17
996	4266	12
997	4271	8
998	4275	4
999	4279	0
